bits,loss,accuracy
3,1.17422257347228,0.5830
3,1.9665872945189475,0.2749
3,1.179125333499536,0.5996
4,0.7064842115253966,0.7555
4,0.6961633592555009,0.7611
4,0.551079633169881,0.8119
5,0.5348135207873543,0.8153
5,0.5052713763798882,0.8285
5,0.5261168245207671,0.8227
6,0.5250872666410814,0.8199
6,0.5290138107676438,0.8197
6,0.5679179184390101,0.8064
7,0.5142293239872393,0.8246
7,0.5837787087494387,0.8007
7,0.5314736628390047,0.8172
8,0.5408097414263906,0.8131
8,0.5110499405546579,0.8249
8,0.5265543990365251,0.8235
3,0.9687368005957454,0.7069
9,0.5367527785366241,0.8145
10,0.5107364524757521,0.8272
11,0.5224623070730049,0.8230
12,0.5316903213069756,0.8202
13,0.5338414513048165,0.8170
14,0.5195339167399492,0.8217
15,0.5236840686558004,0.8194
16,0.5124460634108094,0.8208
